,td_date
0,1997-07-15
1,1997-07-16
2,1997-07-17
3,1997-07-22
4,1997-07-23
5,1997-07-24
6,1997-07-29
7,1997-07-30
8,1997-08-05
9,1997-08-06
10,1997-08-07
11,1997-08-12
12,1997-08-13
13,1997-08-14
14,1997-08-19
15,1997-08-20
16,1997-08-21
17,1997-08-26
18,1997-08-27
19,1997-08-28
20,1997-09-02
21,1997-09-03
22,1997-09-04
23,1997-09-09
24,1997-09-10
25,1997-09-11
26,1997-09-16
27,1997-09-17
28,1997-09-18
29,1997-09-23
30,1997-09-24
31,1997-09-25
32,1997-10-07
33,1997-10-08
34,1997-10-09
35,1997-10-14
36,1997-10-15
37,1997-10-16
38,1997-10-21
39,1997-10-22
40,1997-10-23
41,1997-10-28
42,1997-10-29
43,1997-10-30
44,1997-11-04
45,1997-11-05
46,1997-11-06
47,1997-11-11
48,1997-11-12
49,1997-11-13
50,1997-11-18
51,1997-11-19
52,1997-11-20
53,1997-11-25
54,1997-11-26
55,1997-11-27
56,1997-12-02
57,1997-12-03
58,1997-12-04
59,1997-12-09
60,1997-12-10
61,1997-12-11
62,1997-12-16
63,1997-12-17
64,1997-12-18
65,1997-12-23
66,1997-12-24
67,1997-12-25
68,1997-12-30
69,1998-01-06
70,1998-01-07
71,1998-01-08
72,1998-01-13
73,1998-01-14
74,1998-01-15
75,1998-01-20
76,1998-01-21
77,1998-01-22
78,1998-02-10
79,1998-02-11
80,1998-02-12
81,1998-02-17
82,1998-02-18
83,1998-02-19
84,1998-02-24
85,1998-02-25
86,1998-02-26
87,1998-03-03
88,1998-03-04
89,1998-03-05
90,1998-03-10
91,1998-03-11
92,1998-03-12
93,1998-03-17
94,1998-03-18
95,1998-03-19
96,1998-03-24
97,1998-03-25
98,1998-03-26
99,1998-04-02
100,1998-04-07
101,1998-04-08
102,1998-04-09
103,1998-04-14
104,1998-04-15
105,1998-04-16
106,1998-04-21
107,1998-04-22
108,1998-04-23
109,1998-04-28
110,1998-04-29
111,1998-05-05
112,1998-05-06
113,1998-05-07
114,1998-05-12
115,1998-05-13
116,1998-05-14
117,1998-05-19
118,1998-05-20
119,1998-05-21
120,1998-05-26
121,1998-05-27
122,1998-05-28
123,1998-06-02
124,1998-06-03
125,1998-06-04
126,1998-06-09
127,1998-06-10
128,1998-06-11
129,1998-06-16
130,1998-06-17
131,1998-06-18
132,1998-06-23
133,1998-06-24
134,1998-06-25
135,1998-07-02
136,1998-07-07
137,1998-07-08
138,1998-07-09
139,1998-07-14
140,1998-07-15
141,1998-07-16
142,1998-07-21
143,1998-07-22
144,1998-07-23
145,1998-07-28
146,1998-07-29
147,1998-07-30
148,1998-08-04
149,1998-08-05
150,1998-08-06
151,1998-08-11
152,1998-08-12
153,1998-08-13
154,1998-08-18
155,1998-08-19
156,1998-08-20
157,1998-08-25
158,1998-08-26
159,1998-08-27
160,1998-09-02
161,1998-09-03
162,1998-09-08
163,1998-09-09
164,1998-09-10
165,1998-09-15
166,1998-09-16
167,1998-09-17
168,1998-09-22
169,1998-09-23
170,1998-09-24
171,1998-09-29
172,1998-10-06
173,1998-10-07
174,1998-10-08
175,1998-10-13
176,1998-10-14
177,1998-10-15
178,1998-10-20
179,1998-10-21
180,1998-10-22
181,1998-10-27
182,1998-10-28
183,1998-10-29
184,1998-11-03
185,1998-11-04
186,1998-11-05
187,1998-11-10
188,1998-11-11
189,1998-11-12
190,1998-11-17
191,1998-11-18
192,1998-11-19
193,1998-11-24
194,1998-11-25
195,1998-11-26
196,1998-12-02
197,1998-12-03
198,1998-12-08
199,1998-12-09
200,1998-12-10
201,1998-12-15
202,1998-12-16
203,1998-12-17
204,1998-12-22
205,1998-12-23
206,1998-12-24
207,1998-12-29
208,1998-12-30
209,1999-01-05
210,1999-01-06
211,1999-01-07
212,1999-01-12
213,1999-01-13
214,1999-01-14
215,1999-01-19
216,1999-01-20
217,1999-01-21
218,1999-01-26
219,1999-01-27
220,1999-01-28
221,1999-02-02
222,1999-02-03
223,1999-02-04
224,1999-03-02
225,1999-03-03
226,1999-03-04
227,1999-03-09
228,1999-03-10
229,1999-03-11
230,1999-03-16
231,1999-03-17
232,1999-03-18
233,1999-03-23
234,1999-03-24
235,1999-03-25
236,1999-03-30
237,1999-04-06
238,1999-04-07
239,1999-04-08
240,1999-04-13
241,1999-04-14
242,1999-04-15
243,1999-04-20
244,1999-04-21
245,1999-04-22
246,1999-04-27
247,1999-04-28
248,1999-04-29
249,1999-05-05
250,1999-05-06
251,1999-05-11
252,1999-05-12
253,1999-05-13
254,1999-05-18
255,1999-05-19
256,1999-05-20
257,1999-05-25
258,1999-05-26
259,1999-05-27
260,1999-06-02
261,1999-06-03
262,1999-06-08
263,1999-06-09
264,1999-06-10
265,1999-06-15
266,1999-06-16
267,1999-06-17
268,1999-06-22
269,1999-06-23
270,1999-06-24
271,1999-06-29
272,1999-07-06
273,1999-07-07
274,1999-07-08
275,1999-07-13
276,1999-07-14
277,1999-07-15
278,1999-07-20
279,1999-07-21
280,1999-07-22
281,1999-07-27
282,1999-07-28
283,1999-07-29
284,1999-08-03
285,1999-08-04
286,1999-08-05
287,1999-08-10
288,1999-08-11
289,1999-08-12
290,1999-08-17
291,1999-08-18
292,1999-08-19
293,1999-08-24
294,1999-08-25
295,1999-08-26
296,1999-09-02
297,1999-09-07
298,1999-09-08
299,1999-09-09
300,1999-09-14
301,1999-09-15
302,1999-09-16
303,1999-09-21
304,1999-09-22
305,1999-09-23
306,1999-09-28
307,1999-09-29
308,1999-10-12
309,1999-10-13
310,1999-10-14
311,1999-10-19
312,1999-10-20
313,1999-10-21
314,1999-10-26
315,1999-10-27
316,1999-10-28
317,1999-11-02
318,1999-11-03
319,1999-11-04
320,1999-11-09
321,1999-11-10
322,1999-11-11
323,1999-11-16
324,1999-11-17
325,1999-11-18
326,1999-11-23
327,1999-11-24
328,1999-11-25
329,1999-12-02
330,1999-12-07
331,1999-12-08
332,1999-12-09
333,1999-12-14
334,1999-12-15
335,1999-12-16
336,1999-12-22
337,1999-12-23
338,1999-12-28
339,1999-12-29
340,2000-01-05
341,2000-01-06
342,2000-01-11
343,2000-01-12
344,2000-01-13
345,2000-01-18
346,2000-01-19
347,2000-01-20
348,2000-01-25
349,2000-01-26
350,2000-01-27
351,2000-02-15
352,2000-02-16
353,2000-02-17
354,2000-02-22
355,2000-02-23
356,2000-02-24
357,2000-03-02
358,2000-03-07
359,2000-03-08
360,2000-03-09
361,2000-03-14
362,2000-03-15
363,2000-03-16
364,2000-03-21
365,2000-03-22
366,2000-03-23
367,2000-03-28
368,2000-03-29
369,2000-03-30
370,2000-04-04
371,2000-04-05
372,2000-04-06
373,2000-04-11
374,2000-04-12
375,2000-04-13
376,2000-04-18
377,2000-04-19
378,2000-04-20
379,2000-04-25
380,2000-04-26
381,2000-04-27
382,2000-05-09
383,2000-05-10
384,2000-05-11
385,2000-05-16
386,2000-05-17
387,2000-05-18
388,2000-05-23
389,2000-05-24
390,2000-05-25
391,2000-05-30
392,2000-06-06
393,2000-06-07
394,2000-06-08
395,2000-06-13
396,2000-06-14
397,2000-06-15
398,2000-06-20
399,2000-06-21
400,2000-06-22
401,2000-06-27
402,2000-06-28
403,2000-06-29
404,2000-07-04
405,2000-07-05
406,2000-07-06
407,2000-07-11
408,2000-07-12
409,2000-07-13
410,2000-07-18
411,2000-07-19
412,2000-07-20
413,2000-07-25
414,2000-07-26
415,2000-07-27
416,2000-08-02
417,2000-08-03
418,2000-08-08
419,2000-08-09
420,2000-08-10
421,2000-08-15
422,2000-08-16
