ra_code,ra_name
000692,汇添富双利债券C
160514,博时稳健回报债券(LOF)C
161120,易方达中债新综指发起式C
161506,银河通利债券(LOF)C
160721,嘉实中证中期企业债指数C
161822,银华中证中票50指数债LOFC
161221,国投瑞银双债债券(LOF)C
160124,南方中债10年期国债指数C
166401,浦银安盛稳健增利债(LOF)C
000088,嘉实中证中期国债ETF联接C
020036,国泰上证5年国债ETF联接C
000349,广发中债金融债指数C
550016,信诚至远混合C
163003,长信利鑫债券(LOF)C
162105,金鹰持久增利债券(LOF)C
166012,中欧信用增利债券(LOF)C
164510,国富恒利债券(LOF)C
020012,国泰金龙债券C
519661,银河增利债券C
470011,汇添富多元收益债券C
531009,建信收益增强C
000474,广发集鑫债券C
000025,大摩双利增强债券C
128112,国投瑞银优化增强债券C
020028,国泰信用债券C
000146,长盛季季红1年期债券C
165314,建信信用增强债券(LOF)C
202102,南方多利增强债券C
675023,西部利得稳定增利债券C
000745,北信瑞丰稳定收益债券C
519989,长信利丰债券C
000206,易方达投资级信用债债券C
395012,中海增强收益债券C
001003,华夏债券C
000422,华泰柏瑞丰汇债券C
162299,泰达宏利集利债券C
460108,华泰柏瑞稳健收益债券C
270045,广发双债添利债券C
000562,南方启元债券C
519153,新华纯债添利债券发起C
261102,景顺长城优信增利债券C
000052,长盛纯债债券C
001033,华夏安康优选债券C
000148,易方达高等级信用债债券C
100071,富国强收益定期开放债券C
050119,博时转债增强债券C
750003,安信目标收益债券C
360014,光大保德信信用添益债券C
630109,华商稳定增利债券C
000737,诺安聚利债券C
000890,上投摩根纯债添利债券C
000617,上投摩根优信增利债券C
000182,景顺长城四季金利债券C
050111,博时信用债券C
020034,国泰民安增利债券C
370026,上投摩根轮动添利债券C
519023,海富通稳健添利债券C
000812,富国收益增强债券C
000413,国开岁月鎏金定开信用债C
161824,银华永兴纯债债券(LOF)C
000285,富安达信用纯债发起式C
000068,民生加银转债优选C
660102,农银恒久增利债券C
166016,中欧纯债债券(LOF)C
000023,南方中票指数债券C
000356,南方丰元信用增强债券C
675013,西部利得稳健双利债券C
000208,建信双债增强债券C
450006,国富强化收益债券C
050116,博时宏观回报债券C
530008,建信稳定增利债券C
690202,民生增强收益债券C
450019,国富恒久信用债券C
519112,浦银安盛优化收益债券C
000490,光大保德信岁末红利债券C
000859,融通通瑞债券C
610108,信达澳银信用债债券C
541005,汇丰晋信平稳增利债券C
000033,易方达信用债债券C
380006,中银纯债债券C
261101,景顺长城稳定收益债券C
700006,平安大华添利债券C
270049,广发纯债债券C
000123,汇添富实业债债券C
000150,华安双债添利债券C
000188,华泰柏瑞丰盛纯债债券C
092002,大成债券C
000396,汇添富安心中国债券C
519189,万家信用恒利债券C
110038,易方达纯债债券C
519122,浦银安盛6个月定期债券C
000281,博时双债增强债券C
070038,嘉实纯债债券C
000802,中金纯债债券C
000630,圆信永丰纯债债券C
519060,海富通纯债债券C
161625,融通可转债债券C
020020,国泰双利债券C
470078,汇添富增强收益债券C
710302,富安达增强收益债券C
531017,建信双息红利债券C
470059,汇添富可转债债券C
690206,民生加银信用双利债券C
000004,中海可转债债券C
000131,大成景兴信用债债券C
233013,大摩多元收益债券C
000109,富国稳健增强债券C
000288,银华永利债券C
200113,长城积极增利债券C
162108,金鹰元盛债券(LOF)C
001023,华夏亚债中国债券指数C
531020,建信转债增强债券C
070026,嘉实信用债券C
202107,南方广利回报债券C
470089,汇添富6月红添利定开债券C
161627,融通通福债券(LOF)C
040019,华安稳固收益债券C
000085,博时安盈债券C
000016,华夏纯债债券C
000081,天治可转债增强债券C
000386,景顺长城景颐双利债券C
291007,泰信增强收益债券C
163005,长信利众债券(LOF)C
180030,银华永泰积极债券C
686869,浙商聚盈信用债债券C
040041,华安纯债债券C
519731,交银定期支付月月丰债券C
100037,富国优化增强债券C
000141,富国国有企业债债券C
582201,东吴优信稳健债券C
000119,广发聚鑫债券C
582202,东吴增利债券C
202110,南方润元C
519720,交银纯债债券发起C
288102,华夏稳定双利债券C
000175,汇添富高息债债券C
000253,景顺长城景兴信用纯债C
660109,农银增强收益债券C
050123,博时天颐债券C
650002,英大纯债债券C
000876,建信稳定得利债券C
519682,交银增利债券C
000378,上投摩根双债增利债券C
000897,鑫元半年定期开放债券C
000299,中海纯债债券C
590010,中邮稳定收益债券C
100068,富国纯债债券发起C
000723,建信稳定添利债券C
213917,宝盈增强收益债券C
519163,新华信用增益债券C
000669,国寿安保尊享债券C
000048,华夏双债债券C
000153,大成景旭纯债债券C
110036,易方达双债增强债券C
001013,华夏希望债券C
519725,交银双轮动债券C
000840,上投摩根纯债丰利债券C
400029,东方双债添利债券C
000070,国投瑞银中高等级债券C
000481,华商双债丰利债券C
000407,汇添富双利增强债券C
000564,南方通利债券C
519976,长信可转债C
000420,大摩优质信价纯债债券C
180026,银华信用双利债券C
080010,长盛同禧债券C
531021,建信纯债债券C
166004,中欧稳健收益C
000192,富国信用债债券C
360009,光大保德信增利收益债券C
000899,华富恒稳纯债债券C
519685,交银双利债券C
162716,广发聚源债券(LOF)C
519187,万家稳健增利债券C
519735,交银强化回报债券C
000910,鑫元合丰纯债C
000334,长城稳固收益债券C
000933,前海开源睿远稳健增利C
000938,华商稳固添利债券C
000998,南方双元债券C
519748,交银丰享收益债券C
001200,创金合信聚利债券C
001258,兴业收益增强债券C
001116,广发聚安混合C
001354,广发聚康混合C
