,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2012-07-31,519505.OF,2012-06-30,2012-07-18,43.72,97500386.25,51.04,,791667829.64,3153390192.76,0.0017883782951524374
2012-07-31,050003.OF,2012-06-30,2012-07-20,35.07,,62.98,,9807891811.43,34435850022.01,0.0018867047627273426
2012-07-31,020007.OF,2012-06-30,2012-07-20,30.47,440301706.35,20.78,,593104360.02,3461131737.9,0.0021535909638454864
2012-07-31,040003.OF,2012-06-30,2012-07-18,44.84,500000870.0,49.63,,4172576037.17,12378039468.03,0.0016303265122936672
2012-07-31,560001.OF,2012-06-30,2012-07-19,29.61,51940364.61,6.97,,14583586.33,83061973.54,0.0014198155052511652
2012-07-31,320002.OF,2012-06-30,2012-07-18,37.54,1306634872.45,24.81,,790365674.63,3629779271.08,0.0017568122646807183
2012-07-31,519998.OF,2012-06-30,2012-07-20,42.66,,55.46,,2950268619.07,8133906709.82,0.0020313468619965747
2012-07-31,217014.OF,2012-06-30,2012-07-19,25.67,1715253372.88,65.91,,2834179087.84,25896633151.14,0.001895730827381481
2012-07-31,003003.OF,2012-06-30,2012-07-18,31.46,3620004240.0,56.06,,4312846040.46,35715724809.25,0.0018602282392068403
2012-07-31,162206.OF,2012-06-30,2012-07-19,56.64,161160709.75,16.97,,200740490.07,657033885.9,0.0019528983287613322
2012-07-31,530002.OF,2012-06-30,2012-07-18,59.8,,38.43,,1828342348.18,4048087118.49,0.002516181785490179
2012-07-31,121011.OF,2012-06-30,2012-07-20,47.34,,51.25,,2166634643.27,6468937549.23,0.001914238275392055
2012-07-31,091005.OF,2012-06-30,2012-07-20,17.18,685200237.8,53.79,,282356781.74,3435347553.61,0.0019098526120235881
2012-07-31,420006.OF,2012-06-30,2012-07-02,,,,,,,0.0019394401752563795
2012-07-31,253050.OF,2012-06-30,2012-07-20,36.16,16000000.0,56.28,,70910864.69,251523189.39,0.0016881920940932105
2012-07-31,340005.OF,2012-06-30,2012-07-19,26.1,20000000.0,69.93,,200796416.93,996614946.17,0.0020674969791256714
2012-07-31,583101.OF,2012-06-30,2012-07-20,50.31,49000273.5,28.01,,90938484.44,290691309.12,0.002011396058290371
2012-07-31,163820.OF,2012-06-30,2012-07-19,32.0,2974605513.7,49.1,,4186451467.5,22501352202.14,0.0019389341152236117
2012-07-31,100025.OF,2012-06-30,2012-07-20,39.99,120000570.0,46.14,,1630470079.44,6083935887.79,0.0017861594821475535
2012-07-31,260202.OF,2012-06-30,2012-07-18,12.53,125000570.0,4.52,,,400805003.54,0.0022855029581945185
2012-07-31,460106.OF,2012-06-30,2012-07-18,5.77,133200749.8,19.27,,,435589847.59,0.002046303806856331
2012-07-31,240006.OF,2012-06-30,2012-07-18,48.73,,49.5,,1274591626.35,3501932498.48,0.0019381354312772991
2012-07-31,150005.OF,2012-06-30,2012-07-19,46.25,300001050.0,33.08,,712171183.91,1994192706.13,0.0020493474903138242
2012-07-31,550010.OF,2012-06-30,2012-07-19,40.66,,57.59,,729107496.86,1841435752.43,0.0016824118712415181
2012-07-31,519508.OF,2012-06-30,2012-07-19,45.29,3146008063.0,16.11,,2928739990.25,9557196092.8,0.0019024923560950757
2012-07-31,202302.OF,2012-06-30,2012-07-18,41.27,,56.12,,13314938123.34,44078524828.34,0.0019848747634625408
2012-07-31,583001.OF,2012-06-30,2012-07-20,50.31,49000273.5,28.01,,90938484.44,290691309.12,0.001814011748230815
2012-07-31,128011.OF,2012-06-30,2012-07-20,47.34,,51.25,,2166634643.27,6468937549.23,0.0021135144039023945
2012-07-31,400005.OF,2012-06-30,2012-07-20,51.16,140000690.0,34.0,,452435886.71,1315162820.66,0.0017231505534507363
2012-07-31,519506.OF,2012-06-30,2012-07-18,43.72,97500386.25,51.04,,791667829.64,3153390192.76,0.0019873993182233374
2012-07-31,519509.OF,2012-06-30,2012-07-19,30.63,39800379.7,51.71,,70024060.61,228631244.97,0.0019604243470934257
2012-07-31,288101.OF,2012-06-30,2012-07-18,54.19,110000375.0,38.36,,862015188.85,2218892241.3,0.001969526724959536
2012-07-31,161615.OF,2012-06-30,2012-07-19,54.42,318401447.6,25.74,,663957645.18,1772111093.02,0.0022888218584280473
2012-07-31,660107.OF,2012-06-30,2012-07-18,42.52,109800484.7,45.6,,281761281.54,1086657450.53,0.0020682845482951073
2012-07-31,360018.OF,2012-06-30,2012-07-02,,,,,,,
2012-07-31,470030.OF,2012-06-30,2012-07-02,,,,,,,0.002023343401681643
2012-07-31,150015.OF,2012-06-30,2012-07-19,46.25,300001050.0,33.08,,712171183.91,1994192706.13,0.0022464775834210027
2012-07-31,200003.OF,2012-06-30,2012-07-20,62.23,485901968.85,9.95,,605691048.67,1829044954.41,0.001990730799945828
2012-07-31,040034.OF,2012-06-30,2012-07-02,,,,,,,
2012-07-31,040031.OF,2012-06-30,2012-07-02,,,,,,,
2012-07-31,240007.OF,2012-06-30,2012-07-18,48.73,,49.5,,1274591626.35,3501932498.48,0.0021358904867629924
2012-07-31,200103.OF,2012-06-30,2012-07-20,62.23,485901968.85,9.95,,605691048.67,1829044954.41,0.0021884277238188865
2012-07-31,217004.OF,2012-06-30,2012-07-19,25.67,1715253372.88,65.91,,2834179087.84,25896633151.14,0.0016980320214463607
2012-07-31,040033.OF,2012-06-30,2012-07-02,,,,,,,
2012-07-31,110016.OF,2012-06-30,2012-07-19,16.22,,82.06,,2401101501.06,32213505929.01,0.001982545455257334
2012-07-31,040029.OF,2012-06-30,2012-07-02,,,,,,,
2012-07-31,160609.OF,2012-06-30,2012-07-19,31.35,249000564.5,63.13,,1465690466.43,6622793430.87,0.0021096363787214134
2012-07-31,550011.OF,2012-06-30,2012-07-19,40.66,,57.59,,729107496.86,1841435752.43,0.0018811668683722527
2012-07-31,070029.OF,2012-06-30,2012-07-18,20.19,425000000.0,20.17,,10063769.45,887330602.85,0.0016810949868846237
2012-07-31,519510.OF,2012-06-30,2012-07-19,30.63,39800379.7,51.71,,70024060.61,228631244.97,0.00215855628228101
2012-07-31,482002.OF,2012-06-30,2012-07-20,47.05,558501157.75,46.44,,5030270819.12,16194532786.45,0.0019382123876090507
2012-07-31,100028.OF,2012-06-30,2012-07-20,39.99,120000570.0,46.14,,1630470079.44,6083935887.79,0.0019837938827154122
2012-07-31,660007.OF,2012-06-30,2012-07-18,42.52,109800484.7,45.6,,281761281.54,1086657450.53,0.0018705099662930103
2012-07-31,460006.OF,2012-06-30,2012-07-18,5.77,133200749.8,19.27,,,435589847.59,0.0018489642076948698
2012-07-31,320019.OF,2012-06-30,2012-07-18,37.54,1306634872.45,24.81,,790365674.63,3629779271.08,0.0019551337916761113
2012-07-31,519517.OF,2012-06-30,2012-07-18,31.72,,58.57,,892552168.46,4960498230.48,0.002278362021125524
2012-07-31,519589.OF,2012-06-30,2012-07-18,30.67,148730423.1,64.31,,2319723574.5,8117405187.23,0.0018721681709263915
2012-07-31,310338.OF,2012-06-30,2012-07-19,32.18,2000000.0,64.21,,,77302225.4,0.0016660691767604874
2012-07-31,160606.OF,2012-06-30,2012-07-19,31.35,249000564.5,63.13,,1465690466.43,6622793430.87,0.0019123261267850467
2012-07-31,070008.OF,2012-06-30,2012-07-18,31.19,1710000000.0,55.49,,5336104730.67,27309937774.38,0.0019037344743024764
2012-07-31,163303.OF,2012-06-30,2012-07-18,37.18,230000865.0,35.26,,311696158.48,1051943533.79,
2012-07-31,110006.OF,2012-06-30,2012-07-19,16.22,,82.06,,2401101501.06,32213505929.01,0.0017849826508335997
2012-07-31,080011.OF,2012-06-30,2012-07-20,39.23,144900417.35,39.97,,322105732.27,1203276425.17,0.0018301327052077099
2012-07-31,37001B.OF,2012-06-30,2012-07-19,38.44,8550700000.0,13.18,,1056037839.65,17836343285.96,0.0019281217789621774
2012-07-31,180009.OF,2012-06-30,2012-07-19,30.7,,64.9,,380392399.8,2320543653.54,0.002003238783225836
2012-07-31,253051.OF,2012-06-30,2012-07-20,36.16,16000000.0,56.28,,70910864.69,251523189.39,0.001884871710821523
2012-07-31,163802.OF,2012-06-30,2012-07-19,32.0,2974605513.7,49.1,,4186451467.5,22501352202.14,0.0017413725623647291
