td_date,portfolio_bond_mean,portfolio,total_25,total_50,total_75,total
2010-01-29,60.577499999999986,2.4572651533596797,14.98,24.32,46.25,2.509266168773472
2010-02-26,60.577499999999986,2.4572651533596797,14.98,24.32,46.25,2.509266168773472
2010-03-31,60.577499999999986,2.4572651533596797,14.98,24.32,46.25,2.509266168773472
2010-04-30,80.3425,2.4971740299246554,43.77,54.31,72.2,2.509266168773472
2010-05-31,80.3425,2.4971740299246554,43.77,54.31,72.2,2.509266168773472
2010-06-30,80.3425,2.4971740299246554,43.77,54.31,72.2,2.509266168773472
2010-07-30,77.69899999999998,2.4307004229160483,52.8625,61.99,70.25999999999999,2.5071409807300604
2010-08-31,78.03649999999999,2.4307004229160483,52.8625,61.99,70.25999999999999,2.5071409807300604
2010-09-30,78.03649999999999,2.4307004229160483,52.8625,61.99,70.25999999999999,2.5071409807300604
2010-10-29,74.889,2.4917924305682826,50.59,61.805,69.815,2.5071409807300604
2010-11-30,74.889,2.4917924305682826,50.59,61.805,69.815,2.5071409807300604
2010-12-31,74.889,2.4917924305682826,50.59,61.805,69.815,2.5071409807300604
2011-01-31,67.52649999999997,2.519264002624731,30.195,44.71,56.585,2.509266168773472
2011-02-28,67.52649999999997,2.519264002624731,30.195,44.71,56.585,2.509266168773472
2011-03-31,67.52649999999997,2.519264002624731,30.195,44.71,56.585,2.509266168773472
2011-04-29,75.533,2.463049315361746,43.33,53.47,65.605,2.4994645433247253
2011-05-31,75.533,2.463049315361746,43.33,53.47,65.605,2.4994645433247253
2011-06-30,75.533,2.463049315361746,43.33,53.47,65.605,2.4994645433247253
2011-07-29,77.03700000000002,2.498206012817304,44.705,54.67,67.68,2.509266168773472
2011-08-31,77.03700000000002,2.498206012817304,44.705,54.67,67.68,2.509266168773472
2011-09-30,77.03700000000002,2.498206012817304,44.705,54.67,67.68,2.509266168773472
2011-10-31,72.87800000000001,2.4961514839096877,37.8,47.95,61.6,2.509266168773472
2011-11-30,72.87800000000001,2.4961514839096877,37.8,47.95,61.6,2.509266168773472
2011-12-30,72.87800000000001,2.4961514839096877,37.8,47.95,61.6,2.509266168773472
2012-01-31,49.49699999999999,2.451750640526894,17.64,30.75,41.519999999999996,2.509266168773472
2012-02-29,49.49699999999999,2.451750640526894,17.64,30.75,41.519999999999996,2.509266168773472
2012-03-30,49.49699999999999,2.451750640526894,17.64,30.75,41.519999999999996,2.509266168773472
2012-04-27,46.351000000000006,2.5085762095524755,24.62,30.86,38.66,2.4994645433247253
2012-05-31,46.351000000000006,2.5085762095524755,24.62,30.86,38.66,2.4994645433247253
2012-06-29,46.351000000000006,2.5085762095524755,24.62,30.86,38.66,2.4994645433247253
2012-07-31,51.854000000000006,2.5905764838444028,30.65,37.18,44.84,2.5135550927221306
2012-08-31,51.854000000000006,2.5905764838444028,30.65,37.18,44.84,2.5135550927221306
2012-09-28,51.854000000000006,2.5905764838444028,30.65,37.18,44.84,2.5135550927221306
2012-10-31,57.2645,2.494917259937064,25.475,38.1,47.545,2.5169329928019124
2012-11-30,57.2645,2.494917259937064,25.475,38.1,47.545,2.5169329928019124
2012-12-31,57.2645,2.494917259937064,25.475,38.1,47.545,2.5169329928019124
2013-01-31,55.97399999999999,2.6084316890821535,16.65,25.54,40.98,2.611270704795432
2013-02-28,55.97399999999999,2.6084316890821535,16.65,25.54,40.98,2.611270704795432
2013-03-29,55.97399999999999,2.6084316890821535,16.65,25.54,40.98,2.611270704795432
2013-04-26,62.088999999999984,2.7624940331188785,29.17,35.08,42.03,2.6172285192454847
2013-05-31,62.088999999999984,2.7624940331188785,29.17,35.08,42.03,2.6172285192454847
2013-06-28,62.088999999999984,2.7624940331188785,29.17,35.08,42.03,2.6172285192454847
2013-07-31,80.713,2.6519270163674364,31.59,42.71,56.91,2.6161640744490455
2013-08-30,80.713,2.6519270163674364,31.59,42.71,56.91,2.6161640744490455
2013-09-30,80.713,2.6519270163674364,31.59,42.71,56.91,2.6161640744490455
2013-10-31,67.19800000000001,2.5251740116477257,22.285,31.57,43.86,2.6172285192454847
2013-11-29,67.19800000000001,2.5251740116477257,22.285,31.57,43.86,2.6172285192454847
2013-12-31,67.19800000000001,2.5251740116477257,22.285,31.57,43.86,2.6172285192454847
2014-01-30,53.584,2.727731670420057,9.7825,18.4,30.267500000000002,2.605768272937148
2014-02-28,53.584,2.727731670420057,9.7825,18.4,30.267500000000002,2.605768272937148
2014-03-31,53.584,2.727731670420057,9.7825,18.4,30.267500000000002,2.605768272937148
2014-04-30,65.06249999999999,2.5595351078852735,15.540000000000001,27.08,38.225,2.607504279274897
2014-05-30,68.41499999999999,2.5807420421366225,15.579999999999998,27.225,39.18,2.607504279274897
2014-06-30,68.41499999999999,2.5807420421366225,15.579999999999998,27.225,39.18,2.607504279274897
2014-07-31,67.783,2.6624829081657886,25.76,38.97,47.48,2.6143720020725514
2014-08-29,67.783,2.6624829081657886,25.76,38.97,47.48,2.6143720020725514
2014-09-30,67.783,2.6624829081657886,25.58,38.95,47.48,2.6143720020725514
2014-10-31,74.29599999999999,2.6369524131526534,28.91,41.15,52.56,2.6165631922374644
2014-11-28,74.29599999999999,2.6369524131526534,28.91,41.15,52.56,2.6165631922374644
2014-12-31,74.29599999999999,2.6369524131526525,28.91,41.3,52.265,2.6161640744490455
2015-01-30,74.566,2.669802349933962,22.564999999999998,38.57,47.96,2.6134603888816166
2015-02-27,74.566,2.669802349933962,22.564999999999998,38.57,47.96,2.6134603888816166
2015-03-31,74.566,2.669802349933962,23.8,39.07,47.96,2.6134603888816166
2015-04-30,69.87249999999999,2.6340825227972253,24.49,36.6,44.34,2.613214546717524
2015-05-29,69.87249999999999,2.6340825227972253,24.49,36.6,44.34,2.613214546717524
2015-06-30,69.87249999999999,2.6340825227972258,24.5875,36.629999999999995,44.34,2.613214546717524
2015-07-31,82.909,2.692919974818162,30.98,42.5,54.84,2.616558020771942
2015-08-31,82.909,2.692919974818162,30.98,42.5,54.84,2.616558020771942
2015-09-30,82.909,2.6929421107642115,31.380000000000003,42.5,54.99,2.616558020771942
2015-10-30,72.15900000000002,2.732206795982144,27.8,39.115,52.33,2.617228733232446
2015-11-30,72.15900000000002,2.732206795982144,28.1575,39.13,52.33,2.617228733232446
2015-12-31,72.15900000000002,2.732206795982144,27.97,39.13,52.33,2.617228733232446
2016-01-29,81.68550000000002,2.6253160546140513,26.01,38.83,53.43,2.6157752995916717
2016-02-29,81.68550000000002,2.6253160546140513,25.755000000000003,38.83,53.43,2.6134603888816166
2016-03-31,81.68550000000002,2.6253160546140513,25.8825,38.83,53.43,2.6133609014766357
2016-04-29,90.88049999999998,2.7022865982605726,33.04,41.92,57.3,2.6134603888816166
2016-05-31,90.88049999999998,2.7022865982605726,33.04,41.92,57.3,2.6134603888816166
2016-06-30,90.88049999999998,2.7022865982605726,33.04,43.345,57.3,2.6133609014766357
2016-07-29,91.47399999999998,2.6556143771899468,32.56,46.14,56.97,2.609240285612646
2016-08-31,91.47399999999998,2.6556143771899468,32.295,46.14,56.97,2.609240285612646
2016-09-30,91.47399999999998,2.6556143771899468,32.08,46.13,56.7975,2.6094064953250395
2016-10-31,90.30799999999998,2.6194470744275513,31.46,39.29,56.66,2.609572705037433
2016-11-30,90.30799999999998,2.6194470744275513,31.46,39.29,56.66,2.609572705037433
2016-12-30,90.30799999999998,2.6194470744275513,31.23,39.01,56.62,2.6094064953250395
2017-01-26,89.30449999999999,2.7725186093426273,18.8175,30.085,44.47,2.6134603888816166
